-1,1,45986126.0,0,5007,1920
2,101,46011696.0,25,3,0
3,101,46017290.0,22,19,0
4,101,46029807.0,11,0,0
5,6792,46029837.0,1145,662,5
6,457,46029847.0,114,47,0
7,429,46029877.0,56,20,0
8,6764,46029892.0,1089,604,25
10,121,46029940.0,20,2,0
11,136,46029962.0,10,10,0
12,101,46029994.0,10,5,0
13,817,46030009.0,178,44,1
15,11,46030052.0,8,0,0
16,101,46030093.0,4,7,0
17,345,46030108.0,14,13,1
18,128,46030109.0,8,16,0
19,101,46030125.0,13,2,0
21,101,46030136.0,6,0,0
22,591,46030140.0,90,693,6
23,308,46030156.0,52,34,1
24,344,46030172.0,48,36,1
25,4968,46030172.0,641,328,23
26,3150,46030179.0,257,138,7
27,101,46030181.0,10,2,0
29,2250,46030182.0,318,28,1
30,2185,46030215.0,312,40,3
33,221,46030268.0,11,2,0
34,185,46030271.0,27,23,0
35,101,46030298.0,4,9,0
36,1570,46030312.0,173,26,1
37,156,46030316.0,2,0,0
38,133,46030317.0,15,1,0
39,1651,46030319.0,255,12,0
40,41,46030320.0,8,2,0
41,611,46030321.0,83,12,0
43,101,46030340.0,1,1,1
46,111,46030389.0,350,59,15
47,1,46030389.0,19,0,0
50,101,46030489.0,3,3,0
51,101,46030491.0,0,1,0
52,861,46030505.0,62,12,0
53,138,46030517.0,8,7,0
54,360,46030549.0,18,21,2
55,366,46030569.0,16,48,1
56,563,46030614.0,64,10,0
57,126,46030694.0,7,93,0
58,123,46030751.0,19,3,0
59,402,46030766.0,82,51,0
60,101,46030772.0,8,1,1
61,1956,46030789.0,147,39,4
62,549,46030815.0,90,13,3
64,136,46030847.0,11,4,0
65,101,46030850.0,8,4,0
66,614,46030866.0,102,12,0
67,101,46030901.0,4,0,0
68,503,46030911.0,42,10,0
69,530,46030930.0,174,630,6
71,1936,46031058.0,328,2317,1
72,800,46031066.0,77,58,0
74,2316,46031103.0,1126,74,65
75,321,46031159.0,44,4,0
76,101,46031168.0,3,9,0
77,260,46031178.0,8,36,0
78,123,46031211.0,4,4,0
79,212,46031222.0,10,5,0
80,211,46031228.0,16,7,0
81,1307,46031238.0,80,86,0
82,685,46031255.0,49,68,0
83,804,46031307.0,64,11,0
84,101,46031398.0,3,10,0
85,176,46031496.0,25,3,0
87,740,46031685.0,89,58,2
88,14082,46031737.0,3320,4235,126
89,1281,46031755.0,105,61,4
90,561,46031804.0,287,27,0
91,101,46031955.0,8,0,0
92,31,46032149.0,5,3,0
93,96,46032167.0,3,2,0
94,111,46032175.0,15,6,0
96,441,46032205.0,80,18,0
98,291,46032300.0,24,141,1
99,151,46032341.0,42,3,0
101,502,46032500.0,49,109,0
102,101,46032501.0,5,4,0
103,261,46032738.0,34,41,1
104,146,46032752.0,26,23,0
105,101,46032799.0,0,0,0
107,160,46032991.0,14,20,3
108,305,46033338.0,171,4,0
110,443,46033758.0,59,9,1
111,101,46033859.0,2,1,0
112,101,46033876.0,0,0,0
113,101,46033908.0,0,0,0
114,708,46034074.0,61,44,1
115,101,46034183.0,8,0,0
116,101,46034187.0,2,9,0
117,123,46034225.0,4,1,0
118,473,46034232.0,60,46,0
119,139,46034415.0,12,0,0
120,101,46034495.0,3,1,0
121,101,46034627.0,4,3,0
122,101,46035530.0,8,0,0
123,101,46035682.0,56,21,0
124,121,46036038.0,8,8,0
125,391,46036145.0,31,0,0
126,101,46036148.0,1,0,0
127,236,46036320.0,46,29,1
128,166,46036607.0,19,22,0
129,101,46037046.0,8,9,0
130,241,46037090.0,24,2,0
131,216,46037237.0,14,6,0
132,33,46037557.0,8,2,0
133,116,46037837.0,6,2,1
134,101,46038048.0,0,1,1
135,101,46038171.0,1,2,0
138,231,46038543.0,24,20,0
139,758,46038569.0,241,41,0
140,1,46038830.0,4,4,0
141,101,46038887.0,0,0,0
142,185,46038997.0,19,10,0
143,101,46039305.0,1,0,0
144,1396,46039406.0,269,477,1
145,99,46039892.0,8,4,0
147,101,46040138.0,1,0,0
148,228,46040151.0,11,12,0
151,101,46041729.0,9,0,0
152,101,46041914.0,1,0,0
153,101,46042402.0,3,0,0
154,321,46042697.0,23,6,0
155,101,46043060.0,1,2,0
156,101,46043152.0,0,0,0
158,111,46044229.0,2,15,0
159,18283,46044339.0,3781,1014,59
160,101,46044757.0,2,0,0
161,101,46045063.0,1,8,0
162,101,46045474.0,2,1,0
163,276,46045507.0,12,1,0
164,101,46046613.0,3,2,0
165,36,46046756.0,2,1,0
166,118,46048591.0,3,7,0
167,101,46048755.0,21,0,0
168,147,46049218.0,61,8,1
169,113,46049253.0,19,5,0
170,208,46049657.0,52,48,1
171,171,46049739.0,9,0,0
172,564,46050334.0,113,15,0
173,453,46050622.0,39,15,0
174,792,46051747.0,78,163,4
175,236,46052090.0,46,53,0
176,101,46052164.0,0,0,0
177,101,46052849.0,0,0,0
178,11,46053595.0,2,8,0
179,1416,46054067.0,147,352,10
180,101,46055502.0,0,0,0
181,101,46057681.0,6,60,0
183,22625,46058194.0,4069,2496,45
184,101,46058954.0,3,3,0
186,101,46060853.0,1,1,0
187,446,46061231.0,69,6,0
188,211,46061357.0,19,2,0
189,205,46063622.0,17,0,0
190,1166,46064454.0,146,482,24
191,313,46065425.0,16,8,0
193,101,46066978.0,0,1,0
194,38,46067427.0,7,4,0
195,101,46067977.0,7,0,0
196,6140,46069042.0,649,497,114
197,138,46069086.0,5,21,1
198,908,46070802.0,42,69,0
199,1815,46071078.0,188,149,3
200,128,46072592.0,24,9,0
202,101,46073082.0,3,0,0
203,101,46073291.0,1,1,0
204,101,46073745.0,0,4,0
