108,46187253.0,395,173,1
145,46366241.0,548,539,1
217,46638735.0,375,30,1
263,46710022.0,769,31,1
264,46710022.0,769,6,1
272,46714767.0,790,298,1
281,46736571.0,715,7,1
338,46809369.0,834,577,1
360,46893682.0,614,170,1
478,47128114.0,222,213,1
479,47128114.0,222,146,1
558,47384467.0,886,6,1
559,47384467.0,886,372,1
583,47401050.0,1205,856,1
587,47425069.0,1194,6,1
661,47814586.0,1289,53,1
668,47821505.0,1437,1289,1
681,47867231.0,1385,1268,1
716,47999180.0,1501,7,1
717,47999180.0,1501,973,1
726,48002378.0,1207,1142,1
737,48016627.0,1536,1052,1
740,48022756.0,1521,6,1
754,48060599.0,1413,1583,1
776,48089908.0,1583,1412,1
781,48100359.0,1272,47,1
831,48163328.0,672,22,1
836,48184952.0,1601,1444,1
837,48184952.0,1601,1386,1
855,48290831.0,1580,1149,1
875,48446852.0,1749,1123,1
880,48486423.0,396,257,1
895,48544096.0,1780,124,1
901,48598874.0,887,841,1
909,48611944.0,1813,575,1
914,48631776.0,1454,899,1
939,48878292.0,1352,1815,1
955,48949639.0,1955,1645,1
1006,49179751.0,924,920,1
1068,49300823.0,2093,1687,1
1069,49300823.0,2093,1112,1
1073,49355814.0,2149,1709,1
1082,49369303.0,2086,1961,1
1083,49369303.0,2086,539,1
1095,49385750.0,2154,1228,1
1131,49547091.0,490,880,1
1134,49565722.0,2140,1169,1
1135,49573136.0,2067,2024,1
1140,49639491.0,354,118,1
1143,49644121.0,145,7,1
1153,49728210.0,2171,224,1
1154,49728210.0,2171,216,1
1156,49738375.0,2223,1963,1
1169,49804291.0,1676,73,1
1210,49824929.0,2282,1676,1
1211,49824929.0,2282,2269,1
1224,49875237.0,880,490,1
1283,50236903.0,2401,2374,1
1307,50263047.0,2385,1289,1
8809,50361644.0,2410,1292,1
10783,50391630.0,2423,414,1
17469,50579327.0,26,118,1
18942,50611839.0,652,421,1
22399,50770090.0,2476,369,1
23659,50833099.0,2597,183,1
26940,50937183.0,1223,1142,1
28839,51033208.0,1799,859,1
28840,51033208.0,1799,1324,1
29591,51052818.0,1995,1799,1
30954,51103915.0,2670,665,1
31174,51110256.0,1460,1444,1
32441,51141966.0,1016,577,1
33045,51169234.0,2742,1812,1
34666,51222652.0,2602,2516,1
34884,51241421.0,1761,485,1
35150,51261684.0,2245,534,1
36817,51352095.0,2787,276,1
36818,51352095.0,2787,166,1
36867,51352460.0,1815,1352,1
36868,51352460.0,1815,2770,1
38448,51404237.0,2248,203,1
38449,51404237.0,2248,10,1
38533,51406197.0,195,411,1
38800,51419694.0,2615,2572,1
39025,51430791.0,2846,2597,1
41963,51524549.0,2894,1807,1
42256,51534109.0,2892,2860,1
42257,51534109.0,2892,2572,1
45213,51649027.0,2938,2918,1
46450,51714053.0,485,414,1
46451,51714053.0,485,1761,1
48587,51822199.0,3061,3062,1
48709,51829711.0,2828,1826,1
49737,51938302.0,1001,411,1
51512,52043266.0,3091,1995,1
51513,52043266.0,3091,2628,1
54696,52197273.0,3100,2966,1
56446,52304433.0,3167,257,1
56522,52308086.0,3156,2639,1
59018,52379447.0,3201,1848,1
59019,52379447.0,3201,2689,1
59020,52379447.0,3201,1,1
59021,52379447.0,3201,2563,1
60212,52438390.0,3038,305,1
60213,52438390.0,3038,726,1
60286,52442565.0,3207,2917,1
60919,52502536.0,534,36,1
62187,52588704.0,3276,2957,1
63529,52675383.0,3286,1001,1
64695,52739206.0,3270,3287,1
65209,52756067.0,3338,3286,1
65383,52765728.0,1904,1906,1
65866,52783777.0,2291,369,1
66354,52837218.0,3359,2066,1
66575,52848316.0,203,10,1
67211,52878803.0,3238,2777,1
67212,52878803.0,3238,3331,1
67552,52903658.0,3244,2956,1
67842,52915247.0,2910,2768,1
68036,52924878.0,3369,1576,1
68037,52924878.0,3369,2742,1
68038,52924878.0,3369,612,1
68409,52936942.0,3200,1016,1
68410,52936942.0,3200,3252,1
68438,52937330.0,3331,2777,1
68439,52937330.0,3331,3238,1
68816,52952849.0,3333,2483,1
69573,53006665.0,3392,3244,1
69793,53018756.0,3287,3270,1
70012,53032314.0,3395,3199,1
70711,53097663.0,346,3372,1
71072,53114774.0,134,3372,1
71553,53155670.0,138,75,1
72473,53203009.0,2197,1385,1
74418,53340550.0,3460,1980,1
74639,53352185.0,3458,2306,1
74640,53352185.0,3458,2410,1
74930,53363137.0,1062,1045,1
76682,53443245.0,3526,1133,1
78440,53510432.0,1441,1430,1
79545,53546979.0,3599,3561,1
80174,53586977.0,3586,359,1
80535,53609260.0,3549,3561,1
80633,53617278.0,3589,328,1
80923,53624065.0,3383,2067,1
81335,53633743.0,3324,563,1
81650,53639810.0,1610,22,1
82884,53765182.0,3542,3158,1
83998,53849871.0,3661,1015,1
83999,53849871.0,3661,527,1
85270,53899309.0,3685,2597,1
86097,53934277.0,1224,499,1
86853,53954132.0,973,7,1
86903,53955591.0,3194,30,1
87342,53964162.0,3713,3685,1
87463,53966318.0,499,3200,1
87464,53966318.0,499,3252,1
87465,53966366.0,3101,685,1
88210,53982693.0,3746,213,1
88211,53982693.0,3746,2493,1
89036,54022484.0,1015,3661,1
89037,54022484.0,1015,3539,1
90125,54053478.0,3752,3556,1
90394,54059646.0,3762,1015,1
91229,54076082.0,3810,539,1
91230,54076082.0,3810,548,1
91231,54076104.0,3704,3653,1
92603,54129999.0,3463,3115,1
92604,54129999.0,3463,1881,1
92726,54134376.0,3556,3752,1
92801,54137299.0,3845,3708,1
94250,54197956.0,3822,3672,1
95316,54227310.0,3069,1595,1
95485,54230693.0,3814,3460,1
95486,54230693.0,3814,499,1
95584,54234538.0,3879,3842,1
96141,54261301.0,1337,423,1
96168,54265222.0,3818,206,1
97223,54332445.0,3734,643,1
97538,54360792.0,3911,1611,1
98127,54398458.0,3926,575,1
98128,54398458.0,3926,1266,1
98157,54399453.0,3943,3730,1
98752,54425748.0,3958,3,1
98753,54425748.0,3958,73,1
98754,54425748.0,3958,1676,1
100255,54538840.0,2032,652,1
100497,54548183.0,1576,612,1
100498,54548183.0,1576,2742,1
100499,54548183.0,1576,3369,1
101352,54575538.0,3893,3252,1
101476,54581376.0,3907,3611,1
101669,54590221.0,3999,2691,1
101936,54629264.0,4013,665,1
102009,54634418.0,4009,1015,1
102058,54637377.0,3989,4017,1
104677,55026391.0,4093,222,1
106296,55191208.0,4142,4146,1
106602,55238997.0,4150,899,1
112612,55365051.0,2576,2401,1
116088,55427188.0,4172,859,1
122839,55632232.0,4298,4220,1
122840,55632232.0,4298,3316,1
123791,55688639.0,4312,4175,1
124142,55703243.0,4175,4312,1
126543,55801161.0,4364,4354,1
126569,55801210.0,4354,4364,1
131345,55991110.0,4466,1980,1
131371,55991162.0,1980,4466,1
132522,56054144.0,4485,3207,1
132523,56054144.0,4485,2917,1
134924,56246687.0,4500,4530,1
136400,56337881.0,4568,4539,1
136426,56338057.0,4569,939,1
137577,56426667.0,4606,4298,1
142554,56638436.0,4708,2492,1
142955,56660137.0,4734,1576,1
143731,56704954.0,4753,4267,1
148507,57017567.0,4839,3270,1
149433,57053837.0,4854,4272,1
149909,57079419.0,4877,138,1
151785,57205714.0,4914,834,1
151811,57206337.0,4914,577,1
151812,57206942.0,4914,3392,1
153113,57271210.0,4949,4942,1
153839,57361999.0,118,354,1
154340,57427835.0,4970,4766,1
156886,57583575.0,5026,1521,1
156887,57583575.0,5026,6,1
159238,57753128.0,5078,1797,1
160039,57821018.0,5097,5093,1
168040,58098650.0,5181,5107,1
170516,58136917.0,5191,5011,1
175642,58272236.0,5249,5238,1
175668,58272272.0,5238,5249,1
180594,58388154.0,5306,3702,1
181695,58445121.0,5333,5171,1
182821,58480485.0,5359,1576,1
185122,58611456.0,5382,1848,1
189248,58762855.0,5450,5184,1
189774,58795310.0,5465,4768,1
190875,58829827.0,4991,2149,1
191901,58897129.0,5517,152,1
193027,58928878.0,5542,1,1
193228,58937519.0,5542,5181,1
195354,59018671.0,5560,3194,1
195380,59030040.0,5572,3466,1
199681,59299935.0,5591,1164,1
203933,59512613.0,5700,2432,1
204934,59590778.0,4172,527,1
