1,1,46030332.0,23,1278.0,8.0,5.0,1,14.0,
2,1,46030377.0,22,8198.0,24.0,7.0,1,8.0,88.0
3,1,46030408.0,54,3613.0,18.0,19.0,4,36.0,183.0
4,1,46030411.0,13,5224.0,23.0,5.0,2,2.0,
5,2,46030483.0,81,,23.0,,3,,23.0
6,1,46030484.0,152,29229.0,5.0,15.0,5,137.0,22047.0
7,1,46030559.0,76,5808.0,38.0,24.0,3,79.0,253.0
8,1,46030581.0,0,288.0,37.0,1.0,2,,449.0
9,2,46030587.0,13,,50.0,,3,,
10,1,46030667.0,23,21925.0,24.0,4.0,4,12.0,919.0
11,1,46030710.0,2,224.0,34.0,1.0,2,1.0,34.0
12,2,46030721.0,20,,5.0,,1,,
13,2,46030736.0,14,,23.0,,4,,
14,2,46030743.0,5,,36.0,,1,,
15,2,46030786.0,13,,6.0,,0,,
16,2,46030951.0,16,,8.0,,3,,8.0
17,1,46031052.0,9,1261.0,,1.0,0,1.0,7972.0
18,2,46031058.0,31,,36.0,,1,,
19,2,46031061.0,12,,55.0,,0,,
20,2,46031075.0,3,,37.0,,2,,
21,1,46031076.0,4,184.0,59.0,1.0,1,1.0,930.0
22,1,46031139.0,102,21916.0,66.0,15.0,1,67.0,930.0
23,1,46031164.0,10,7694.0,69.0,2.0,1,2.0,
24,2,46031173.0,17,,61.0,,0,,
25,1,46031233.0,7,2095.0,69.0,7.0,4,5.0,69.0
26,1,46031263.0,18,3476.0,75.0,8.0,14,7.0,22047.0
27,2,46031292.0,4,,68.0,,0,,
28,2,46031292.0,6,,,,0,,
29,2,46031295.0,5,,36.0,,0,,
30,1,46031314.0,7,705.0,69.0,8.0,2,7.0,919.0
31,1,46031324.0,66,175495.0,13.0,10.0,3,56.0,919.0
32,2,46031346.0,12,,5.0,,0,,
33,1,46031403.0,5,1428.0,69.0,3.0,1,5.0,88.0
34,2,46031407.0,3,,79.0,,0,,
35,1,46031430.0,10,1223.0,54.0,2.0,0,4.0,54.0
36,1,46031507.0,41,67396.0,8.0,27.0,7,21.0,43889.0
38,2,46031548.0,2,,61.0,,2,,
39,1,46031549.0,4,210.0,59.0,1.0,0,1.0,190.0
40,1,46031567.0,8,491.0,69.0,4.0,1,2.0,919.0
41,2,46031593.0,8,,83.0,,0,,
